start,duration,count
37.55,2.940000000000005,1
40.49,0.6799999999999997,0
41.17,0.259999999999998,1
41.43,0.9100000000000037,0
42.34,2.729999999999997,1
45.07,0.9200000000000017,0
45.99,0.3999999999999986,1
46.39,1.0700000000000003,0
47.46,0.8500000000000014,1
48.31,2.9399999999999977,0
51.25,2.1799999999999997,1
53.43,1.7800000000000011,0
55.21,2.259999999999998,1
57.47,1.25,0
58.72,4.25,1
62.97,0.46000000000000085,2
63.43,4.009999999999998,1
67.44,1.0900000000000034,0
68.53,1.1200000000000045,1
69.65,0.36999999999999034,2
70.02,5.859999999999999,1
75.88,1.6099999999999994,0
77.49,3.510000000000005,1
81.0,1.0699999999999932,0
82.07,0.18000000000000682,1
82.25,0.2600000000000051,2
82.51,14.319999999999993,1
96.83,1.480000000000004,0
98.31,3.269999999999996,1
101.58,1.4000000000000057,0
102.98,1.1700000000000017,1
104.15,2.4399999999999977,0
106.59,1.6099999999999994,1
108.2,4.030000000000001,0
112.23,1.6099999999999994,1
113.84,1.0499999999999972,0
114.89,2.1200000000000045,1
117.01,0.6700000000000017,2
117.68,1.5,1
119.18,1.1699999999999875,2
120.35,1.8800000000000097,1
122.23,0.45000000000000284,2
122.68,0.4899999999999949,1
123.17,1.9899999999999949,0
125.16,4.650000000000006,1
129.81,0.44999999999998863,0
130.26,0.960000000000008,1
131.22,1.6200000000000045,0
132.84,0.25,1
133.09,0.3499999999999943,2
133.44,0.2599999999999909,1
133.7,2.3500000000000227,0
136.05,0.8699999999999761,1
136.92,0.6300000000000239,2
137.55,0.5099999999999909,1
138.06,5.300000000000011,0
143.36,0.3499999999999943,1
143.71,0.5099999999999909,0
144.22,0.15000000000000568,1
144.37,1.1099999999999852,0
145.48,1.5800000000000125,1
147.06,3.4199999999999875,0
150.48,0.8200000000000216,1
151.3,1.0199999999999818,2
152.32,0.15000000000000568,1
152.47,0.28000000000000114,2
152.75,2.539999999999992,1
155.29,0.30000000000001137,0
155.59,2.819999999999993,1
158.41,0.6899999999999977,2
159.1,1.0200000000000102,1
160.12,0.5099999999999909,2
160.63,1.670000000000016,1
162.3,0.339999999999975,2
162.64,0.12000000000000455,1
162.76,0.4099999999999966,0
163.17,42.07000000000002,1
205.24,1.6499999999999773,0
206.89,35.18000000000001,1
242.07,0.9699999999999989,0
243.04,28.159999999999997,1
271.2,3.1100000000000136,0
274.31,3.259999999999991,1
277.57,2.5500000000000114,2
280.12,0.10000000000002274,1
280.22,0.7999999999999545,2
281.02,11.770000000000039,1
292.79,1.2099999999999795,2
294.0,0.029999999999972715,1
294.03,0.44000000000005457,2
294.47,1.3099999999999454,1
295.78,0.4600000000000364,0
296.24,2.8999999999999773,1
299.14,1.3799999999999955,2
300.52,11.900000000000034,1
312.42,0.38999999999998636,2
312.81,1.759999999999991,1
314.57,0.5699999999999932,2
315.14,2.340000000000032,1
317.48,0.14999999999997726,0
317.63,0.37000000000000455,1
318.0,1.0600000000000023,0
319.06,5.920000000000016,1
324.98,0.25,2
325.23,2.7899999999999636,1
328.02,0.8000000000000114,2
328.82,0.2699999999999818,1
329.09,0.5600000000000023,0
329.65,3.230000000000018,1
